,stock,mktcap
0,0001.HK,198596362240
1,0002.HK,184304517120
2,0003.HK,0
3,0004.HK,0
4,0009.HK,0
5,0010.HK,0
6,0011.HK,240127098880
7,0012.HK,143777693696
8,0019.HK,54409363456
9,0021.HK,0
10,0022.HK,0
11,0023.HK,43048869888
12,0028.HK,0
13,0029.HK,0
14,0030.HK,0
15,0031.HK,0
16,0036.HK,0
17,0037.HK,0
18,0038.HK,0
19,0039.HK,0
20,0045.HK,0
21,0046.HK,0
22,0047.HK,0
23,0048.HK,0
24,0055.HK,0
25,0056.HK,0
26,0057.HK,0
27,0058.HK,0
28,0063.HK,0
29,0064.HK,0
30,0065.HK,0
31,0066.HK,244123041792
32,0071.HK,0
33,0072.HK,0
34,0073.HK,0
35,0075.HK,0
36,0080.HK,0
37,0081.HK,0
38,0082.HK,0
39,0083.HK,0
40,0088.HK,0
41,0089.HK,0
42,0090.HK,0
43,0091.HK,0
44,0096.HK,0
45,0097.HK,0
46,0098.HK,0
47,0099.HK,0
48,0104.HK,0
49,0105.HK,0
50,0106.HK,0
51,0107.HK,0
52,0112.HK,0
53,0113.HK,0
54,0114.HK,0
55,0115.HK,0
56,0120.HK,0
57,0122.HK,0
58,0123.HK,0
59,0124.HK,0
60,0129.HK,0
61,0130.HK,0
62,0131.HK,0
63,0132.HK,0
64,0138.HK,0
65,0139.HK,0
66,0141.HK,0
67,0142.HK,0
68,0147.HK,0
69,0148.HK,0
70,0149.HK,0
71,0150.HK,0
72,0155.HK,0
73,0156.HK,0
74,0157.HK,0
75,0158.HK,0
76,0164.HK,0
77,0165.HK,0
78,0166.HK,0
79,0167.HK,0
80,0173.HK,0
81,0174.HK,0
82,0175.HK,0
83,0176.HK,0
84,0181.HK,0
85,0182.HK,0
86,0183.HK,0
87,0184.HK,0
88,0189.HK,0
89,0190.HK,0
90,0191.HK,0
91,0193.HK,0
92,0198.HK,0
93,0199.HK,0
94,0200.HK,0
95,0201.HK,0
96,0207.HK,0
97,0208.HK,0
98,0209.HK,0
99,0210.HK,0
100,0215.HK,0
101,0216.HK,0
102,0217.HK,0
103,0218.HK,0
104,0224.HK,0
105,0225.HK,0
106,0226.HK,0
107,0227.HK,0
108,0232.HK,0
109,0234.HK,0
110,0235.HK,0
111,0236.HK,0
112,0241.HK,0
113,0242.HK,0
114,0243.HK,0
115,0244.HK,0
116,0251.HK,0
117,0252.HK,0
118,0253.HK,0
119,0254.HK,0
120,0259.HK,0
121,0260.HK,0
122,0261.HK,0
123,0262.HK,0
124,0267.HK,176869015552
125,0268.HK,0
126,0269.HK,0
127,0270.HK,0
128,0275.HK,0
129,0276.HK,0
130,0277.HK,0
131,0278.HK,0
132,0285.HK,0
133,0286.HK,0
134,0287.HK,0
135,0288.HK,94359691264
136,0293.HK,35597717504
137,0294.HK,0
138,0295.HK,0
139,0296.HK,0
140,0302.HK,0
141,0303.HK,0
142,0305.HK,0
143,0306.HK,0
144,0311.HK,0
145,0312.HK,0
146,0313.HK,0
147,0315.HK,0
148,0321.HK,0
149,0322.HK,0
150,0323.HK,0
151,0326.HK,0
152,0331.HK,0
153,0332.HK,0
154,0333.HK,0
155,0334.HK,0
156,0339.HK,0
157,0340.HK,0
158,0341.HK,0
159,0342.HK,0
160,0348.HK,0
161,0351.HK,0
162,0352.HK,0
163,0353.HK,0
164,0358.HK,52326948864
165,0359.HK,0
166,0360.HK,0
167,0361.HK,0
168,0366.HK,0
169,0367.HK,0
170,0368.HK,0
171,0369.HK,0
172,0374.HK,0
173,0375.HK,0
174,0376.HK,0
175,0377.HK,0
176,0382.HK,0
177,0383.HK,0
178,0384.HK,0
179,0385.HK,0
180,0390.HK,146541772800
181,0391.HK,0
182,0392.HK,31551250432
183,0393.HK,0
184,0399.HK,0
185,0400.HK,0
186,0401.HK,0
187,0403.HK,0
188,0411.HK,0
189,0412.HK,0
190,0413.HK,0
191,0416.HK,0
192,0422.HK,0
193,0423.HK,0
194,0425.HK,0
195,0426.HK,0
196,0433.HK,0
197,0434.HK,0
198,0435.HK,0
199,0436.HK,0
200,0444.HK,0
201,0445.HK,0
202,0449.HK,0
203,0450.HK,0
204,0459.HK,0
205,0460.HK,0
206,0462.HK,0
207,0464.HK,0
208,0472.HK,0
209,0474.HK,0
210,0475.HK,0
211,0476.HK,0
212,0484.HK,0
213,0485.HK,0
214,0486.HK,0
215,0487.HK,0
216,0495.HK,0
217,0496.HK,0
218,0497.HK,0
219,0498.HK,0
220,0506.HK,0
221,0508.HK,0
222,0509.HK,0
223,0510.HK,0
224,0517.HK,0
225,0518.HK,0
226,0519.HK,0
227,0520.HK,0
228,0526.HK,0
229,0527.HK,0
230,0528.HK,0
231,0529.HK,0
232,0535.HK,0
233,0536.HK,0
234,0538.HK,0
235,0539.HK,0
236,0546.HK,0
237,0547.HK,0
238,0548.HK,0
239,0550.HK,0
240,0555.HK,0
241,0556.HK,0
242,0557.HK,0
243,0558.HK,0
244,0565.HK,0
245,0567.HK,0
246,0568.HK,0
247,0570.HK,0
248,0575.HK,0
249,0576.HK,0
250,0577.HK,0
251,0578.HK,0
252,0583.HK,0
253,0585.HK,0
254,0586.HK,0
255,0587.HK,0
256,0592.HK,0
257,0593.HK,0
258,0595.HK,0
259,0596.HK,0
260,0602.HK,0
261,0603.HK,0
262,0604.HK,0
263,0605.HK,0
264,0611.HK,0
265,0612.HK,0
266,0613.HK,0
267,0616.HK,0
268,0621.HK,0
269,0622.HK,0
270,0623.HK,0
271,0625.HK,0
272,0630.HK,0
273,0631.HK,0
274,0632.HK,0
275,0633.HK,0
276,0639.HK,0
277,0640.HK,0
278,0641.HK,0
279,0643.HK,0
280,0651.HK,0
281,0653.HK,0
282,0655.HK,0
283,0656.HK,82215288832
284,0661.HK,0
285,0662.HK,0
286,0663.HK,0
287,0665.HK,0
288,0670.HK,76850929664
289,0672.HK,0
290,0673.HK,0
291,0674.HK,0
292,0679.HK,0
293,0680.HK,0
294,0681.HK,0
295,0682.HK,0
296,0687.HK,0
297,0688.HK,0
298,0689.HK,0
299,0690.HK,0
300,0696.HK,0
301,0697.HK,0
302,0698.HK,0
303,0699.HK,0
304,0704.HK,0
305,0706.HK,0
306,0707.HK,0
307,0708.HK,0
308,0713.HK,0
309,0715.HK,0
310,0716.HK,0
311,0717.HK,0
312,0722.HK,0
313,0723.HK,0
314,0724.HK,0
315,0725.HK,0
316,0730.HK,0
317,0731.HK,0
318,0732.HK,0
319,0733.HK,0
320,0745.HK,0
321,0746.HK,0
322,0747.HK,0
323,0750.HK,0
324,0755.HK,0
325,0756.HK,0
326,0757.HK,0
327,0758.HK,0
328,0764.HK,0
329,0765.HK,0
330,0766.HK,0
331,0767.HK,0
332,0772.HK,0
333,0775.HK,0
334,0776.HK,0
335,0777.HK,0
336,0788.HK,0
337,0789.HK,0
338,0794.HK,0
339,0797.HK,0
340,0803.HK,0
341,0804.HK,0
342,0806.HK,0
343,0807.HK,0
344,0812.HK,0
345,0813.HK,0
346,0814.HK,0
347,0815.HK,0
348,0821.HK,0
349,0822.HK,0
350,0823.HK,0
351,0825.HK,0
352,0830.HK,0
353,0831.HK,0
354,0832.HK,0
355,0833.HK,0
356,0839.HK,0
357,0840.HK,0
358,0841.HK,0
359,0842.HK,0
360,0850.HK,0
361,0851.HK,0
362,0852.HK,0
363,0853.HK,0
364,0858.HK,0
365,0859.HK,0
366,0860.HK,0
367,0861.HK,0
368,0866.HK,0
369,0867.HK,0
370,0868.HK,0
371,0869.HK,0
372,0875.HK,0
373,0876.HK,0
374,0878.HK,0
375,0880.HK,0
376,0885.HK,0
377,0886.HK,0
378,0887.HK,0
379,0888.HK,0
380,0895.HK,0
381,0896.HK,0
382,0897.HK,0
383,0898.HK,0
384,0904.HK,0
385,0905.HK,0
386,0906.HK,0
387,0907.HK,0
388,0912.HK,0
389,0913.HK,0
390,0914.HK,321992785920
391,0915.HK,0
392,0922.HK,0
393,0923.HK,0
394,0924.HK,0
395,0925.HK,0
396,0931.HK,0
397,0932.HK,0
398,0934.HK,0
399,0935.HK,0
400,0943.HK,0
401,0945.HK,215179771904
402,0947.HK,0
403,0948.HK,0
404,0954.HK,0
405,0956.HK,0
406,0959.HK,0
407,0960.HK,284867002368
408,0970.HK,0
409,0973.HK,0
410,0974.HK,0
411,0975.HK,0
412,0981.HK,185564463104
413,0982.HK,0
414,0983.HK,0
415,0984.HK,0
416,0989.HK,0
417,0990.HK,0
418,0991.HK,0
419,0992.HK,64759771136
420,0997.HK,0
421,0998.HK,252066676736
422,0999.HK,0
423,1000.HK,0
424,1005.HK,0
425,1006.HK,0
426,1007.HK,0
427,1008.HK,0
428,1019.HK,0
429,1020.HK,0
430,1022.HK,0
431,1023.HK,0
432,1029.HK,0
433,1030.HK,0
434,1031.HK,0
435,1033.HK,0
436,1039.HK,0
437,1041.HK,0
438,1043.HK,0
439,1044.HK,0
440,1050.HK,0
441,1051.HK,0
442,1052.HK,0
443,1053.HK,0
444,1060.HK,0
445,1061.HK,0
446,1062.HK,0
447,1063.HK,0
448,1069.HK,0
449,1070.HK,0
450,1071.HK,0
451,1072.HK,0
452,1080.HK,0
453,1082.HK,0
454,1083.HK,0
455,1084.HK,0
456,1089.HK,0
457,1090.HK,0
458,1091.HK,0
459,1093.HK,98903588864
460,1099.HK,53787045888
461,1100.HK,0
462,1101.HK,0
463,1102.HK,0
464,1107.HK,0
465,1108.HK,0
466,1109.HK,251722170368
467,1110.HK,0
468,1115.HK,0
469,1116.HK,0
470,1117.HK,0
471,1118.HK,0
472,1123.HK,0
473,1124.HK,0
474,1125.HK,0
475,1126.HK,0
476,1131.HK,0
477,1132.HK,0
478,1133.HK,0
479,1134.HK,0
480,1141.HK,0
481,1142.HK,0
482,1143.HK,0
483,1145.HK,0
484,1152.HK,0
485,1155.HK,0
486,1156.HK,0
487,1157.HK,0
488,1162.HK,0
489,1163.HK,0
490,1164.HK,0
491,1165.HK,0
492,1171.HK,43310370816
493,1172.HK,0
494,1173.HK,0
495,1175.HK,0
496,1180.HK,0
497,1181.HK,0
498,1182.HK,0
499,1183.HK,0
500,1189.HK,0
501,1190.HK,0
502,1191.HK,0
503,1192.HK,0
504,1198.HK,0
505,1199.HK,0
506,1200.HK,0
507,1201.HK,0
508,1207.HK,0
509,1208.HK,0
510,1210.HK,0
511,1211.HK,579359670272
512,1217.HK,0
513,1218.HK,0
514,1219.HK,0
515,1220.HK,0
516,1225.HK,0
517,1226.HK,0
518,1227.HK,0
519,1229.HK,0
520,1234.HK,0
521,1235.HK,0
522,1237.HK,0
523,1238.HK,0
524,1245.HK,0
525,1246.HK,0
526,1247.HK,0
527,1248.HK,0
528,1253.HK,0
529,1255.HK,0
530,1257.HK,0
531,1258.HK,0
532,1265.HK,0
533,1266.HK,0
534,1268.HK,0
535,1269.HK,0
536,1275.HK,0
537,1277.HK,0
538,1278.HK,0
539,1280.HK,0
540,1286.HK,0
541,1288.HK,1275584708608
542,1289.HK,0
543,1290.HK,0
544,1298.HK,0
545,1299.HK,973325467648
546,1300.HK,0
547,1301.HK,0
548,1310.HK,0
549,1312.HK,0
550,1313.HK,0
551,1314.HK,0
552,1321.HK,0
553,1323.HK,0
554,1326.HK,0
555,1327.HK,0
556,1333.HK,0
557,1335.HK,0
558,1336.HK,174370684928
559,1337.HK,0
560,1343.HK,0
561,1345.HK,0
562,1346.HK,0
563,1347.HK,0
564,1355.HK,0
565,1357.HK,0
566,1358.HK,0
567,1359.HK,58391683072
568,1365.HK,0
569,1366.HK,0
570,1367.HK,0
571,1368.HK,0
572,1373.HK,0
573,1375.HK,0
574,1376.HK,0
575,1378.HK,0
576,1385.HK,0
577,1386.HK,0
578,1387.HK,0
579,1388.HK,0
580,1397.HK,0
581,1398.HK,1968950738944
582,1399.HK,0
583,1400.HK,0
584,1412.HK,0
585,1415.HK,0
586,1416.HK,0
587,1417.HK,0
588,1425.HK,0
589,1426.HK,0
590,1427.HK,0
591,1428.HK,0
592,1433.HK,0
593,1439.HK,0
594,1442.HK,0
595,1443.HK,0
596,1450.HK,0
597,1451.HK,0
598,1452.HK,0
599,1455.HK,0
600,1461.HK,0
601,1462.HK,0
602,1463.HK,0
603,1466.HK,0
604,1475.HK,0
605,1476.HK,0
606,1477.HK,0
607,1478.HK,0
608,1492.HK,0
609,1495.HK,0
610,1496.HK,0
611,1498.HK,0
612,1503.HK,0
613,1508.HK,0
614,1509.HK,0
615,1513.HK,0
616,1522.HK,0
617,1523.HK,0
618,1525.HK,0
619,1526.HK,0
620,1532.HK,0
621,1533.HK,0
622,1536.HK,0
623,1538.HK,0
624,1545.HK,0
625,1546.HK,0
626,1547.HK,0
627,1548.HK,0
628,1555.HK,0
629,1556.HK,0
630,1557.HK,0
631,1558.HK,0
632,1565.HK,0
633,1566.HK,0
634,1568.HK,0
635,1569.HK,0
636,1575.HK,0
637,1576.HK,0
638,1577.HK,0
639,1578.HK,0
640,1583.HK,0
641,1585.HK,0
642,1586.HK,0
643,1587.HK,0
644,1593.HK,0
645,1596.HK,0
646,1597.HK,0
647,1598.HK,0
648,1608.HK,0
649,1609.HK,0
650,1610.HK,0
651,1611.HK,0
652,1617.HK,0
653,1618.HK,26733443072
654,1620.HK,0
655,1621.HK,0
656,1628.HK,0
657,1629.HK,0
658,1630.HK,0
659,1631.HK,0
660,1637.HK,0
661,1638.HK,0
662,1639.HK,0
663,1640.HK,0
664,1651.HK,0
665,1652.HK,0
666,1653.HK,0
667,1655.HK,0
668,1660.HK,0
669,1661.HK,0
670,1662.HK,0
671,1663.HK,0
672,1669.HK,0
673,1671.HK,0
674,1672.HK,0
675,1673.HK,0
676,1680.HK,0
677,1681.HK,0
678,1682.HK,0
679,1683.HK,0
680,1691.HK,0
681,1692.HK,0
682,1693.HK,0
683,1695.HK,0
684,1702.HK,0
685,1703.HK,0
686,1705.HK,0
687,1706.HK,0
688,1711.HK,0
689,1712.HK,0
690,1713.HK,0
691,1715.HK,0
692,1720.HK,0
693,1721.HK,0
694,1722.HK,0
695,1723.HK,0
696,1729.HK,0
697,1730.HK,0
698,1731.HK,0
699,1732.HK,0
700,1738.HK,0
701,1739.HK,0
702,1740.HK,0
703,1741.HK,0
704,1747.HK,0
705,1748.HK,0
706,1749.HK,0
707,1750.HK,0
708,1756.HK,0
709,1757.HK,0
710,1758.HK,0
711,1759.HK,0
712,1765.HK,0
713,1766.HK,171249876992
714,1767.HK,0
715,1769.HK,0
716,1776.HK,0
717,1777.HK,0
718,1778.HK,0
719,1780.HK,0
720,1786.HK,0
721,1787.HK,0
722,1788.HK,0
723,1789.HK,0
724,1796.HK,0
725,1797.HK,0
726,1798.HK,0
727,1799.HK,0
728,1806.HK,0
729,1808.HK,0
730,1809.HK,0
731,1810.HK,0
732,1816.HK,143046344704
733,1817.HK,0
734,1818.HK,0
735,1820.HK,0
736,1826.HK,0
737,1827.HK,0
738,1829.HK,0
739,1830.HK,0
740,1836.HK,0
741,1837.HK,0
742,1838.HK,0
743,1839.HK,0
744,1846.HK,0
745,1847.HK,0
746,1848.HK,0
747,1849.HK,0
748,1856.HK,0
749,1857.HK,0
750,1858.HK,0
751,1859.HK,0
752,1865.HK,0
753,1866.HK,0
754,1867.HK,0
755,1868.HK,0
756,1873.HK,0
757,1875.HK,0
758,1876.HK,0
759,1877.HK,0
760,1884.HK,0
761,1885.HK,0
762,1886.HK,0
763,1888.HK,0
764,1895.HK,0
765,1896.HK,0
766,1897.HK,0
767,1898.HK,51947757568
768,1903.HK,0
769,1905.HK,0
770,1906.HK,0
771,1907.HK,0
772,1912.HK,0
773,1913.HK,0
774,1915.HK,0
775,1916.HK,0
776,1921.HK,0
777,1922.HK,0
778,1925.HK,0
779,1928.HK,238627569664
780,1933.HK,0
781,1935.HK,0
782,1936.HK,0
783,1937.HK,0
784,1942.HK,0
785,1943.HK,0
786,1949.HK,0
787,1950.HK,0
788,1957.HK,0
789,1958.HK,0
790,1959.HK,0
791,1960.HK,0
792,1967.HK,0
793,1968.HK,0
794,1969.HK,0
795,1970.HK,0
796,1978.HK,0
797,1979.HK,0
798,1980.HK,0
799,1981.HK,0
800,1987.HK,0
801,1988.HK,249477529600
802,1989.HK,0
803,1990.HK,0
804,1996.HK,0
805,1997.HK,0
806,1998.HK,0
807,1999.HK,0
808,2005.HK,0
809,2006.HK,0
810,2007.HK,240185851904
811,2008.HK,0
812,2013.HK,0
813,2014.HK,0
814,2016.HK,0
815,2017.HK,0
816,2023.HK,0
817,2025.HK,0
818,2028.HK,0
819,2030.HK,0
820,2048.HK,0
821,2051.HK,0
822,2057.HK,0
823,2060.HK,0
824,2083.HK,0
825,2086.HK,0
826,2088.HK,0
827,2096.HK,0
828,2102.HK,0
829,2103.HK,0
830,2107.HK,0
831,2108.HK,0
832,2116.HK,0
833,2118.HK,0
834,2119.HK,0
835,2120.HK,0
836,2130.HK,0
837,2132.HK,0
838,2133.HK,0
839,2136.HK,0
840,2168.HK,0
841,2169.HK,0
842,2178.HK,0
843,2180.HK,0
844,2188.HK,0
845,2189.HK,0
846,2193.HK,0
847,2196.HK,133280792576
848,2208.HK,0
849,2211.HK,0
850,2212.HK,0
851,2213.HK,0
852,2225.HK,0
853,2226.HK,0
854,2227.HK,0
855,2228.HK,0
856,2236.HK,0
857,2238.HK,137898180608
858,2239.HK,0
859,2255.HK,0
860,2268.HK,0
861,2269.HK,0
862,2277.HK,0
863,2278.HK,0
864,2286.HK,0
865,2288.HK,0
866,2289.HK,0
867,2292.HK,0
868,2300.HK,0
869,2302.HK,0
870,2303.HK,0
871,2307.HK,0
872,2313.HK,0
873,2314.HK,0
874,2317.HK,0
875,2318.HK,1633403666432
876,2324.HK,0
877,2326.HK,0
878,2327.HK,0
879,2328.HK,128563388416
880,2336.HK,0
881,2337.HK,0
882,2338.HK,0
883,2339.HK,0
884,2345.HK,0
885,2346.HK,0
886,2348.HK,0
887,2349.HK,0
888,2359.HK,0
889,2360.HK,0
890,2362.HK,0
891,2363.HK,0
892,2377.HK,0
893,2378.HK,278932029440
894,2379.HK,0
895,2380.HK,0
896,2388.HK,242117115904
897,2389.HK,0
898,2393.HK,0
899,2398.HK,0
900,2500.HK,0
901,2528.HK,0
902,2552.HK,0
903,2558.HK,0
904,2606.HK,0
905,2607.HK,57521147904
906,2608.HK,0
907,2611.HK,0
908,2638.HK,0
909,2660.HK,0
910,2662.HK,0
911,2663.HK,0
912,2680.HK,0
913,2682.HK,0
914,2683.HK,0
915,2686.HK,0
916,2699.HK,0
917,2700.HK,0
918,2708.HK,0
919,2718.HK,0
920,2768.HK,0
921,2772.HK,0
922,2777.HK,0
923,2778.HK,0
924,2799.HK,33600372736
925,2800.HK,0
926,2801.HK,0
927,2802.HK,0
928,2807.HK,0
929,2809.HK,0
930,2810.HK,0
931,2811.HK,0
932,2821.HK,0
933,2822.HK,0
934,2823.HK,0
935,2824.HK,0
936,2832.HK,0
937,2833.HK,0
938,2834.HK,0
939,2836.HK,0
940,2846.HK,0
941,2848.HK,0
942,2858.HK,0
943,2863.HK,0
944,2878.HK,0
945,2880.HK,0
946,2882.HK,0
947,2883.HK,46207934464
948,2898.HK,0
949,2899.HK,218893565952
950,2906.HK,0
951,2952.HK,0
952,2958.HK,0
953,2959.HK,0
954,3005.HK,0
955,3007.HK,0
956,3016.HK,0
957,3019.HK,0
958,3020.HK,0
959,3022.HK,0
